country_code,country_name,year,uis_adult_literacy_rate,uis_education_expenditure_pct_gdp,uis_education_expenditure_pct_government_expenditure,uis_lower_secondary_attainment_rate_25plus,uis_lower_secondary_completion_rate,uis_out_of_school_rate_lower_secondary_age,uis_out_of_school_rate_primary_age,uis_pre_primary_net_enrolment_rate,uis_primary_completion_rate,uis_pupil_qualified_teacher_ratio_primary,uis_pupil_trained_teacher_ratio_primary,uis_tertiary_gross_enrolment_ratio,uis_upper_secondary_attainment_rate_25plus,uis_upper_secondary_completion_rate,uis_youth_literacy_rate
IND,India,2018,73.6883524760717,4.363749980926514,16.63537979125977,46.1414794921875,,,6.378508526655279,,,,,28.53168652919463,32.34334945678711,,94.6062793409244
IND,India,2019,74.8938629973395,3.897320032119751,14.82382011413574,46.07791137695313,85.7591781616211,,7.372874259089538,,94.15231323242188,30.09518965051718,37.8267224822714,29.0233593907143,,50.63235092163086,94.7674702180886
IND,India,2020,75.5270629470344,4.293350219726563,15.99260997772217,49.31523132324219,,11.01942821730164,4.055847428596003,61.25604459067426,,28.48779719331116,34.02681209362536,29.81963977084244,31.70944976806641,,95.675096052413
IND,India,2021,76.0596617430205,4.629499912261963,14.92459964752197,,,10.02241295922385,2.312761815210539,51.91399097021468,,28.15074177637384,29.33064682442966,31.57417659845009,,,95.8899228556846
PAK,Pakistan,2015,,2.386090040206909,13.18727970123291,34.9926355276846,,,,,,,56.19275667256393,8.435566489041534,25.4954239952493,,
PAK,Pakistan,2016,,2.668050050735474,15.06348037719727,,,,,,,,,8.319739035508784,24.6280665280156,,
PAK,Pakistan,2017,59.13000106811523,2.576179981231689,14.54477977752686,36.4315299987793,,,,,,,,8.622280802604926,27.2532901763916,,74.52999877929688
PAK,Pakistan,2018,57.0099983215332,2.332169496882934,12.19247939863422,35.3885222952078,49.5914192199707,,,,59.66225814819336,,56.54106946043706,8.206830579633806,26.0640049316992,23.43923950195313,71.98999786376953
PAK,Pakistan,2019,58.0,2.214920043945313,11.59167957305908,37.23125839233398,,,,,,,61.9159535709036,11.10363852867799,,24.6584300994873,72.69999694824219
PAK,Pakistan,2020,,2.057182407184226,10.79621215389113,,,,,,,,,11.72459787523137,,,
PAK,Pakistan,2021,58.86000061035156,1.687461292139914,7.817207608930894,38.3531608581543,53.76699066162109,31.88981456117479,30.22688076182362,5.517475845050005,60.06523132324219,,66.88224014810896,12.38100128070118,,27.06929016113281,73.12999725341797
USA,United States of America,2015,,4.93064022064209,13.54664993286133,95.33496856689453,98.78231048583984,,1.805860042572021,64.63642120361328,99.66954040527344,14.45722961425781,14.45722961425781,88.88941192626953,88.41197204589844,92.98905181884766,
USA,United States of America,2016,,4.783279895782471,13.17061042785645,95.58524322509766,98.7800064086914,,0.3599700033664703,64.2498779296875,99.62431335449219,14.23904991149902,14.23904991149902,88.83505249023438,89.09236145019531,93.58892059326172,
USA,United States of America,2017,,5.09296989440918,13.8754997253418,94.9176025390625,98.82060241699219,,0.4243800044059753,64.60124206542969,99.66815948486328,14.19857025146484,14.19857025146484,88.16738891601562,89.81413269042969,93.96498107910156,
USA,United States of America,2018,,4.895020008087158,13.14741039276123,96.02937316894531,98.59,,0.574209988117218,64.48726654052734,98.78,14.23777961730957,14.23777961730957,88.29917907714844,89.80535888671875,92.64,
USA,United States of America,2019,,4.957469940185547,13.27268981933594,97.6129471753246,98.61999999999999,,0.9165700078010559,63.92391967773438,99.11,14.60816955566406,14.60816955566406,87.88871002197266,94.6938014055522,93.4,
USA,United States of America,2020,,5.395309925079346,12.1569995880127,96.46076965332031,98.79956817626953,0.1726700067520142,2.005079984664917,64.42674255371094,99.54470825195312,14.43729019165039,14.43729019165039,87.56765747070312,90.94052124023438,95.0361099243164,
USA,United States of America,2021,,5.420380115509033,11.29265975952148,95.25016784667969,98.76283264160156,1.157750010490417,4.095119953155518,53.83779144287109,99.5693588256836,13.56892013549805,13.56892013549805,84.85508728027344,91.31336212158203,94.57929992675781,
